id,time,tenure,publications,citations,salary
T1291,5,assoc,-999,33,47212
T1244,6,assoc,3,26,54511
T1300,6,assoc,3,36,41195
T1293,5,assoc,5,42,53650
T1265,7,assoc,6,18,53740
T1248,6,assoc,6,37,47034
T1260,7,assoc,6,69,56600
T1264,5,assoc,7,35,62895
T1258,6,assoc,8,32,54528
T1268,8,assoc,9,30,55682
T1285,5,assoc,9,47,58632
T1255,spam,assoc,10,25,39115
T1267,5,assoc,11,60,56596
T1302,8,assoc,11,70,47606
T1289,5,assoc,12,43,54782
T1261,7,assoc,12,47,52542
T1299,5,assoc,13,14,52676
T1273,5,assoc,14,50,50729
T1288,7,assoc,16,47,53712
T1246,8,assoc,17,34,61863
T1269,8,assoc,20,27,62091
T1254,6,assoc,21,31,47047
T1252,5,assoc,22,29,47454
T1263,7,assoc,29,35,51647
T1253,5,assoc,30,28,49832
T1270,7,assoc,41,35,42162
T1243,3,asst,-999,50,51876
T1275,1,asst,1,35,37939
T1245,3,asst,2,50,53425
T1271,2,asst,3,14,52646
T1304,4,asst,4,28,58582
T1296,3,asst,6,27,49751
T1286,1,asst,6,29,38340
T1276,3,asst,7,1,39652
T1301,4,asst,8,34,45662
T1251,2,asst,9,19,41934
T1280,3,asst,9,50,57704
T1298,4,asst,11,49,57710
T1278,3,asst,11,69,55579
T1281,4,asst,12,32,44045
T1292,4,asst,16,28,52840
T1297,4,asst,19,83,74343
T1274,3,asst,23,25,70011
T1303,3,asst,25,27,44301
T1283,1,asst,26,45,47082
T1262,3,asst,29,29,50455
T1247,9,full,11,41,52926
T1284,11,full,12,54,60009
T1259,9,full,13,36,60327
T1277,9,full,19,69,68987
T1294,11,full,20,24,50931
T1256,11,full,27,40,59677
T1272,13,full,27,56,74199
T1279,9,full,31,27,54671
T1282,10,full,32,33,51122
T1257,18,full,37,61,61458
T1249,16,full,38,48,66432
T1287,21,full,39,69,71219
T1250,10,full,48,56,61100
T1295,16,full,50,31,66784
T1290,16,full,50,55,83503
T1266,13,full,69,90,75822
